folder,file,label_hz,F_hz,semis,score,alpha,p1,bump2,bump3,bump4,odd_only,kind
17479__modularsamples__rol,302867__modularsamples__roland-juno-6-saw-bass-split-b2-saw-bass-split-47-127.aiff,123.47,61.03,-12.20,22.33,1.51,-3.76,0.44,0.53,0.02,-0.44,single
17479__modularsamples__rol,302868__modularsamples__roland-juno-6-saw-bass-split-c3-saw-bass-split-48-127.aiff,130.81,64.28,-12.30,26.11,1.86,-6.69,0.66,0.74,0.28,-0.66,single
17479__modularsamples__rol,302869__modularsamples__roland-juno-6-saw-bass-split-c3-saw-bass-split-49-127.aiff,138.59,68.90,-12.10,19.17,1.27,-2.03,0.26,0.30,0.16,-0.26,single
17479__modularsamples__rol,302870__modularsamples__roland-juno-6-saw-bass-split-d3-saw-bass-split-50-127.aiff,146.83,72.15,-12.30,27.40,1.98,-6.44,0.54,0.78,0.21,-0.54,single
17479__modularsamples__rol,302871__modularsamples__roland-juno-6-saw-bass-split-d3-saw-bass-split-51-127.aiff,155.56,77.33,-12.10,22.51,1.31,-2.10,0.20,0.24,0.01,-0.20,single
17479__modularsamples__rol,302872__modularsamples__roland-juno-6-saw-bass-split-e3-saw-bass-split-52-127.aiff,164.81,81.93,-12.10,26.46,1.58,-2.83,0.37,0.37,0.08,-0.37,single
17479__modularsamples__rol,302873__modularsamples__roland-juno-6-saw-bass-split-e3-saw-bass-split-53-127.aiff,174.61,86.80,-12.10,23.44,1.34,-1.82,0.17,0.33,-0.05,-0.17,single
17479__modularsamples__rol,302874__modularsamples__roland-juno-6-saw-bass-split-f3-saw-bass-split-54-127.aiff,185.00,91.97,-12.10,25.77,1.42,-2.27,0.27,0.17,0.07,-0.27,single
17479__modularsamples__rol,302875__modularsamples__roland-juno-6-saw-bass-split-f3-saw-bass-split-55-127.aiff,196.00,97.43,-12.10,28.80,1.59,-3.08,0.37,0.39,0.12,-0.37,single
17479__modularsamples__rol,302876__modularsamples__roland-juno-6-saw-bass-split-g3-saw-bass-split-56-127.aiff,207.65,103.23,-12.10,31.29,1.68,-3.06,0.40,0.24,0.11,-0.40,single
17479__modularsamples__rol,302877__modularsamples__roland-juno-6-saw-bass-split-a3-saw-bass-split-57-127.aiff,220.00,109.37,-12.10,27.94,1.51,-2.31,0.25,0.26,0.05,-0.25,single
17479__modularsamples__rol,302878__modularsamples__roland-juno-6-saw-bass-split-a3-saw-bass-split-58-127.aiff,233.08,115.87,-12.10,33.40,1.63,-2.72,0.26,0.36,0.04,-0.26,single
17479__modularsamples__rol,302879__modularsamples__roland-juno-6-saw-bass-split-b3-saw-bass-split-59-127.aiff,246.94,122.76,-12.10,35.14,1.92,-2.85,0.34,0.29,0.04,-0.34,single
17479__modularsamples__rol,302880__modularsamples__roland-juno-6-saw-bass-split-c4-saw-bass-split-60-127.aiff,261.63,32.48,-36.12,16.96,1.17,-2.20,0.19,0.32,0.15,-0.19,single
17479__modularsamples__rol,302881__modularsamples__roland-juno-6-saw-bass-split-c4-saw-bass-split-61-127.aiff,277.18,34.41,-36.12,17.24,1.19,-2.24,0.22,0.30,-0.04,-0.22,single
17479__modularsamples__rol,302882__modularsamples__roland-juno-6-saw-bass-split-d4-saw-bass-split-62-127.aiff,293.66,36.67,-36.02,16.31,1.15,-1.60,0.06,0.25,0.27,-0.06,single
17479__modularsamples__rol,302883__modularsamples__roland-juno-6-saw-bass-split-d4-saw-bass-split-63-127.aiff,311.13,38.62,-36.12,17.32,1.28,-3.24,0.23,0.51,0.28,-0.23,single
17479__modularsamples__rol,302884__modularsamples__roland-juno-6-saw-bass-split-e4-saw-bass-split-64-127.aiff,329.63,40.92,-36.12,18.94,1.29,-2.67,0.15,0.54,0.28,-0.15,single
17479__modularsamples__rol,302885__modularsamples__roland-juno-6-saw-bass-split-e4-saw-bass-split-65-127.aiff,349.23,43.35,-36.12,18.66,1.20,-1.76,0.21,0.15,0.11,-0.21,single
17479__modularsamples__rol,302886__modularsamples__roland-juno-6-saw-bass-split-f4-saw-bass-split-66-127.aiff,369.99,45.93,-36.12,22.31,1.26,-2.17,0.15,0.32,-0.01,-0.15,single
17479__modularsamples__rol,302887__modularsamples__roland-juno-6-saw-bass-split-f4-saw-bass-split-67-127.aiff,392.00,48.66,-36.12,22.41,1.26,-1.96,0.11,0.31,-0.10,-0.11,single
17479__modularsamples__rol,302888__modularsamples__roland-juno-6-saw-bass-split-g4-saw-bass-split-68-127.aiff,415.30,51.85,-36.02,20.51,1.29,-2.24,0.23,0.22,0.07,-0.23,single
17479__modularsamples__rol,302889__modularsamples__roland-juno-6-saw-bass-split-a4-saw-bass-split-69-127.aiff,440.00,54.62,-36.12,23.12,1.40,-2.90,0.29,0.46,0.05,-0.29,single
17479__modularsamples__rol,302890__modularsamples__roland-juno-6-saw-bass-split-a4-saw-bass-split-70-127.aiff,466.16,58.20,-36.02,22.52,1.32,-2.28,0.29,0.30,0.14,-0.29,single
17479__modularsamples__rol,302891__modularsamples__roland-juno-6-saw-bass-split-b4-saw-bass-split-71-127.aiff,493.88,61.67,-36.02,21.94,1.24,-1.61,0.10,0.21,0.03,-0.10,single
17479__modularsamples__rol,302892__modularsamples__roland-juno-6-saw-bass-split-c5-saw-bass-split-73-127.aiff,554.37,69.22,-36.02,24.95,1.33,-2.00,0.17,0.17,0.12,-0.17,single
