filename,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0062.npz,39.85865734952019,28.800108900471194,28.801095227196072,11.057562122324121,-0.0009863267248775287,2.159651302235943e-08,4.663965394446912e-11,-2.1549873368414962e-08,0.0018942864144529785,1.3690231466982206e-08,-0.0018942727242215116,0.0018943,True,29.724736842105266,0.641
random_IR_0063.npz,38.15180438932226,21.104905121432097,21.103246441511857,17.0485579478104,0.001658679920240047,2.8915929206618785e-08,3.583909558013687e-11,-2.8880090111038648e-08,0.004502977087682503,7.337603493894985e-09,-0.004502969750079009,0.004503,True,18.806842105263158,1.585
random_IR_0064.npz,5.213040168841825,32.003446527960726,31.975036646069526,-26.7619964772277,0.028409881891199973,1.8570489146441105e-08,1.4852978872867406e-12,-1.8569003848553818e-08,0.011095858023138755,1.6062828228738936e-08,-0.011095841960310526,0.01109585,True,29.724736842105266,1.401
random_IR_0065.npz,74.55690767575469,97.35264199385966,97.3843017976088,-22.827394121854113,-0.03165980374913602,1.6525677493106627e-09,2.597804350107369e-12,-1.6499699449605554e-09,0.008073027909244792,1.6388465573881422e-08,-0.008073011520779218,0.00807305,True,95.2321052631579,2.748
random_IR_0066.npz,68.155339646973,60.774538075258285,60.774129181246856,7.381210465726149,0.0004088940114286288,4.695298372325851e-09,1.563824590655738e-11,-4.679660126419294e-09,0.00084407347813441,2.6133010854447397e-09,-0.0008440708648333246,0.00084407,True,62.47842105263158,1.154
random_IR_0067.npz,60.13398040751653,22.615237159032482,22.615897982828816,37.51808242468772,-0.0006608237963341423,3.037514062498303e-08,9.536486184069659e-12,-3.036560413879896e-08,0.02180745648719237,7.504064751160264e-10,-0.021807455736785893,0.0218074,True,24.26578947368421,0.984
random_IR_0068.npz,45.88838359517603,43.11838343459527,43.18464809102026,2.703735504155773,-0.06626465642498403,1.0412207762655612e-09,8.23736391597496e-12,-1.0329834123495862e-09,0.00011325660466908623,7.099990203340707e-08,-0.00011318560476705282,0.00011326,True,40.64263157894737,1.283
random_IR_0069.npz,53.043496379812204,53.226167657976326,53.2214050791049,-0.17790869929269348,0.004762578871428502,7.903942778053619e-11,1.4749096041710708e-11,-6.429033173882548e-11,4.970707216117261e-07,7.058664813638679e-09,-4.900120567980874e-07,5e-07,True,51.560526315789474,1.839
random_IR_0070.npz,23.75654649808759,14.683278518639472,14.682397342701199,9.074149155386392,0.0008811759382734152,1.2036401209059022e-08,3.7976197707345616e-12,-1.2032603589288288e-08,0.0012756622051758935,3.876226482932606e-10,-0.0012756618175532451,0.00127568,True,13.347894736842106,2.419
random_IR_0071.npz,37.17703934759796,33.945577670835725,33.94721514490885,3.229824202689109,-0.0016374740731279758,5.921257706376082e-09,4.082344531863846e-11,-5.880434261057443e-09,0.00016161720164813552,2.304195704035266e-09,-0.0001616148974524315,0.00016161,True,35.183684210526316,1.184
