step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
5499,21,21,0.000809728,10,0,0,6.06923e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.0619e-05,0.015625,0.015625,0.712717,5.71855,11.2521,1.41621,0.120561,0.0848958,0.20109,0.193898,0.09459,0.110756,0.0656538,0.0463156,0.00687397,0.0423744,0.0874054,0,4.7253,0,5.94347,16.7068,2.55368,0.35065,0,0,9.8006,0
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,6.06599e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.05367e-05,0.015625,0.015625,0.691241,5.7961,11.418,1.41575,0.122781,0.0855426,0.202752,0.19515,0.0941364,0.115401,0.0658646,0.0473373,0.00712049,0.0406657,0.0869983,0,4.56176,0,5.76367,16.6123,2.49836,0.349763,0,0,9.60218,0
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5999,23,23,0.000793614,10,0,0,6.05817e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.05124e-05,0.015625,0.015625,0.665635,5.87428,11.3106,1.43111,0.124778,0.0846772,0.205528,0.194107,0.0932859,0.108397,0.0639249,0.0464456,0.00640021,0.0386301,0.090054,0,4.72677,0,6.01836,16.8796,2.57981,0.358987,0,0,10.3426,0
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
