filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0055.npz,random_IR_0055.npz,207.673,0.0002054,50,L1_STFT,1.643e-05,0.0120353,True,64.96199404,19.39852344,23.11441436,2.42859445,0.79211262,0.91217741,37.09009595,19.39864379,23.12542055,2.4286026,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,347.545,0.00019485,53,L1_STFT,1.026e-05,0.00325825,True,75.2509732,14.49625773,2.62164531,3.73563493,0.54071734,0.71777986,60.74888275,14.49620673,2.62429303,3.73564678,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,244.661,0.00019543,60,L1_STFT,1.16e-05,0.032826,True,43.90970193,10.1911728,0.371032,1.8501823,0.68480884,0.5180071,89.94035024,10.19125929,0.37040431,1.85018379,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,199.527,0.00019426,60,L1_STFT,1.987e-05,0.00090623,True,18.85702335,29.66949621,82.91806834,1.63717435,0.93603772,0.73253517,11.20885511,29.66934594,82.90696196,1.63717374,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,222.668,0.00016281,44,L1_STFT,9.14e-06,0.0214239,True,43.07963804,7.5358104,104.2439555,2.04743251,0.72010699,0.54335677,5.89295861,7.53577165,104.27165742,2.04743256,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,386.428,0.00016094,44,L1_STFT,8.69e-06,0.04404563,True,62.54306766,4.44124847,27.46597445,1.83063209,0.56658521,0.81305447,9.22314142,4.44126763,27.45254033,1.83062887,0.56658731,0.81305533
random_IR_0061.npz,random_IR_0061.npz,179.366,0.00034259,56,L1_STFT,4.887e-05,0.02248404,True,65.35118922,65.61076402,14.9111844,3.92534569,0.75024419,0.99480416,27.25555544,65.61060804,15.00831659,3.92534302,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,167.181,0.51462954,56,L1_STFT,1.51e-05,0.21097319,True,91.0275053,36.10662538,356.68297866,2.22358775,0.61515605,0.68805846,28.80107957,36.68279964,10.01370843,1.2893822,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,276.76,0.00017442,52,L1_STFT,1.133e-05,0.03029088,True,65.32070588,14.45871575,26.27461618,2.60018939,0.71329217,0.68666762,21.10321477,14.45877119,26.28472807,2.6001947,0.71327987,0.68666732
random_IR_0064.npz,random_IR_0064.npz,164.744,0.00042907,48,L1_STFT,4.861e-05,0.00700957,True,10.70422011,34.72531188,1.38286365,3.50310096,0.9093441,0.99288993,31.97502064,34.7251278,1.43915,3.50310505,0.90933357,0.9928908
random_IR_0065.npz,random_IR_0065.npz,411.189,0.00013607,43,L1_STFT,2.225e-05,0.00264308,True,84.32286756,9.46410194,3.05055423,3.91001438,0.56189323,0.97596774,97.38437309,9.46415117,3.04528632,3.91001794,0.56189402,0.97596678
random_IR_0066.npz,random_IR_0066.npz,220.691,0.00019545,56,L1_STFT,1.044e-05,0.02629059,True,101.9685868,15.68629625,0.96869071,1.77692234,0.64348569,0.69573354,60.77417866,15.68605976,0.96037127,1.77691874,0.64349408,0.69573788
random_IR_0067.npz,random_IR_0067.npz,155.093,0.00031312,38,L1_STFT,1.827e-05,0.08302504,True,95.82124044,34.02091549,10.56377995,2.18545692,0.6591802,0.92119185,22.61591514,34.02096314,10.51537658,2.18545893,0.65918952,0.92120267
random_IR_0068.npz,random_IR_0068.npz,214.52,0.00033585,37,L1_STFT,3.998e-05,0.00872224,True,66.91212314,11.20447981,21.84369331,1.78944885,0.97071811,0.87787378,43.18461695,11.20454648,21.8268504,1.7894513,0.97070275,0.87787478
random_IR_0069.npz,random_IR_0069.npz,310.317,0.0001171,30,L1_STFT,1.087e-05,0.00588853,True,72.71725165,15.03370125,18.68935742,3.1287717,0.6534728,0.58465086,53.22142984,15.03370188,18.68421891,3.12876767,0.65346908,0.58465381
random_IR_0070.npz,random_IR_0070.npz,337.541,0.00023801,52,L1_STFT,3.802e-05,0.05681706,True,75.24120371,4.38139252,41.12903257,2.3107105,0.98421301,0.77797256,14.68237148,4.38139768,41.14606169,2.31071049,0.98421939,0.7779736
random_IR_0071.npz,random_IR_0071.npz,190.559,0.00025727,60,L1_STFT,1.166e-05,0.00214987,True,45.72719351,15.16476943,26.43757931,1.89698782,0.64309364,0.73315688,33.94723202,15.16479955,26.41635671,1.89698835,0.64310986,0.73316763
random_IR_0072.npz,random_IR_0072.npz,288.044,0.00015603,52,L1_STFT,1.167e-05,0.00960695,True,41.37967499,5.30377277,30.69496798,2.26496909,0.76724906,0.87779142,16.4778672,5.30368481,30.70004868,2.26496925,0.76723552,0.87779156
random_IR_0073.npz,random_IR_0073.npz,112.656,0.00018074,56,L1_STFT,1.101e-05,0.03527929,True,63.43175471,62.01409784,54.81260907,2.0671753,0.72860162,0.56126456,15.71201758,62.01426888,54.88282579,2.06717165,0.7286064,0.56126767
random_IR_0074.npz,random_IR_0074.npz,212.684,0.00022992,47,L1_STFT,9.98e-06,0.0026281,True,68.98802211,17.33669824,12.15066084,2.11058527,0.61042662,0.67743586,55.96358841,17.33621929,12.16000788,2.11058037,0.61041261,0.67743208
