CMA-ES full   L1_STFT,DDSP  l1_stft_tgtnorm,CMA-ES 1rst   l1_stft,CMA-ES 1rst   mss,CMA-ES 1rst   smoothmss,CMA-ES 1rst   l1_stft_pow,CMA-ES 1rst   l1_stft_c2,CMA-ES 1rst   l1_stft_log
,8.547904581e-05,6.756665797e-10,4.455881071e-09,1.447574567e-01,1.541176542e-01,8.598529682e-02,1.559819142e-01
,5.003473965e-05,6.793837276e-10,2.447241959e-01,1.536151664e-07,2.792975848e-01,6.677016225e-02,1.535461425e-01
,1.003041083e-04,4.471611172e-10,1.391854651e-10,5.142658244e-02,1.255061079e-04,1.233887412e-02,3.937759383e-02
,9.860842003e-05,1.557688465e-01,1.399590720e-01,4.531642105e-02,2.950448211e-01,2.251044908e-01,3.116104227e-01
,1.642511791e-04,3.487930951e-09,1.072393046e-08,1.397525354e-07,1.049091146e-01,1.198711562e-01,5.316324852e-02
,1.215915559e-04,3.014239666e-09,1.099339852e-02,7.786704094e-02,6.363708079e-02,1.049502952e-01,1.738230239e-01
,1.383846420e-05,2.497736505e-09,1.028392827e-09,2.762922794e-07,1.791230282e-01,7.404873410e-04,1.748505881e-01
,7.788585793e-05,2.514618140e-02,1.430505744e-02,2.328589974e-02,1.069248431e-01,2.400607826e-02,8.349235268e-02
,7.682522809e-04,2.506152782e-10,3.209974774e-09,6.678215819e-08,7.727854831e-02,2.417801297e-02,1.845789358e-01
,4.826562233e-05,1.638306396e-03,3.577991084e-09,1.442156106e-01,2.140581222e-02,2.450356082e-02,4.051609197e-02
,1.537880826e-05,2.042175952e-02,1.369187020e-03,1.005134585e-01,1.775678430e-02,5.394132901e-10,1.767125160e-02
,6.093185354e-02,1.301600678e-08,1.477319586e-09,2.953959909e-02,6.176185059e-02,6.373806370e-02,1.104677072e-01
,2.900734914e-02,1.917067993e-09,3.541429389e-04,1.896409327e-01,4.092560049e-02,1.517981515e-01,2.124052508e-01
,5.131295265e-05,9.421509686e-02,2.685102811e-05,6.344963747e-02,3.121064933e-01,1.012764497e-01,1.964909718e-01
,7.448120847e-04,,,,,,
,4.459460348e-05,,,,,,
,4.241899152e-05,,,,,,
,3.494337140e-05,,,,,,
,6.918715420e-03,,,,,,
,1.044183278e-04,,,,,,
