step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
70,,,,,,,,10.254999160766602,,,,,,,,,,,,0.0,1.0,,0.0,10.083731651306152,14.401514053344727,14.445127487182617,,,,,,,
71,,,,,,,,12.149235725402832,,,,,,,,,,,,0.0,1.0,,0.0,8.820880889892578,14.388885498046875,14.445127487182617,,,,,,,
72,,,,,,,,12.002232551574707,,,,,,,,,,,,0.0,1.0,,0.0,9.865742683410645,14.399333953857422,14.445127487182617,,,,,,,
73,,,,,,,,11.490565299987793,,,,,,,,,,,,0.0,1.0,,0.0,8.038256645202637,14.381058692932129,14.445127487182617,,,,,,,
74,,,,,,,,12.162318229675293,,,,,,,,,,,,0.0,1.0,,0.0,10.346698760986328,14.404143333435059,14.445127487182617,,,,,,,
75,,,,,,,,14.68833065032959,,,,,,,,,,,,0.0,1.0,,0.0,10.845782279968262,14.409133911132812,14.445127487182617,,,,,,,
76,,,,,,,,15.38865852355957,,,,,,,,,,,,0.0,1.0,,0.0,9.705957412719727,14.397735595703125,14.445127487182617,,,,,,,
77,,,,,,,,9.564016342163086,,,,,,,,,,,,0.0,1.0,,0.0,8.8064546585083,14.388740539550781,14.445127487182617,,,,,,,
78,,,,,,,,13.8812255859375,,,,,,,,,,,,0.0,1.0,,0.0,10.550028800964355,14.406176567077637,14.445127487182617,,,,,,,
79,1.0,2.491142511367798,2.014617443084717,2.4865500926971436,2.160691976547241,2.3183481693267822,1.655064582824707,10.792656898498535,0.40134286880493164,13.126415252685547,0.0,13.126415252685547,7.486501693725586,0.8050893545150757,10.011672973632812,17.771907806396484,0.9615498185157776,0.9441997408866882,0.8754643797874451,0.0,1.0,,0.0,10.047393798828125,14.401150703430176,14.445127487182617,10.215166091918945,,,,,,
80,,,,,,,,16.121295928955078,,,,,,,,,,,,0.0,1.0,,0.0,10.443527221679688,14.405111312866211,14.445127487182617,,,,,,,
81,,,,,,,,15.071179389953613,,,,,,,,,,,,0.0,1.0,,0.0,9.12850570678711,14.391961097717285,14.445127487182617,,,,,,,
82,,,,,,,,12.623079299926758,,,,,,,,,,,,0.0,1.0,,0.0,9.096096992492676,14.391636848449707,14.445127487182617,,,,,,,
83,,,,,,,,15.765128135681152,,,,,,,,,,,,0.0,1.0,,0.0,8.823548316955566,14.388912200927734,14.445127487182617,,,,,,,
84,,,,,,,,13.48519515991211,,,,,,,,,,,,0.0,1.0,,0.0,8.021074295043945,14.380887031555176,14.445127487182617,,,,,,,
85,,,,,,,,18.80583953857422,,,,,,,,,,,,0.0,1.0,,0.0,8.910826683044434,14.389784812927246,14.445127487182617,,,,,,,
86,,,,,,,,13.59207534790039,,,,,,,,,,,,0.0,1.0,,0.0,8.078458786010742,14.381461143493652,14.445127487182617,,,,,,,
87,,,,,,,,16.172809600830078,,,,,,,,,,,,0.0,1.0,,0.0,10.022272109985352,14.400898933410645,14.445127487182617,,,,,,,
88,,,,,,,,15.356513977050781,,,,,,,,,,,,0.0,1.0,,0.0,8.649112701416016,14.387167930603027,14.445127487182617,,,,,,,
89,,,,,,,,15.626324653625488,,,,,,,,,,,,0.0,1.0,,0.0,8.14322566986084,14.382108688354492,14.445127487182617,,,,,,,
90,,,,,,,,16.632946014404297,,,,,,,,,,,,0.0,1.0,,0.0,8.673144340515137,14.387408256530762,14.445127487182617,,,,,,,
91,,,,,,,,18.36924934387207,,,,,,,,,,,,0.0,1.0,,0.0,7.323727607727051,14.373913764953613,14.445127487182617,,,,,,,
92,,,,,,,,18.88656234741211,,,,,,,,,,,,0.0,1.0,,0.0,8.53491497039795,14.386025428771973,14.445127487182617,,,,,,,
93,,,,,,,,13.226106643676758,,,,,,,,,,,,0.0,1.0,,0.0,8.187054634094238,14.382546424865723,14.445127487182617,,,,,,,
94,,,,,,,,17.30047607421875,,,,,,,,,,,,0.0,1.0,,0.0,8.2500581741333,14.383176803588867,14.445127487182617,,,,,,,
95,,,,,,,,14.341974258422852,,,,,,,,,,,,0.0,1.0,,0.0,8.478169441223145,14.385457992553711,14.445127487182617,,,,,,,
96,,,,,,,,14.143572807312012,,,,,,,,,,,,0.0,1.0,,0.0,8.219734191894531,14.38287353515625,14.445127487182617,,,,,,,
97,,,,,,,,12.733810424804688,,,,,,,,,,,,0.0,1.0,,0.0,8.20480728149414,14.38272476196289,14.445127487182617,,,,,,,
