index,filename,mode,source,mu_source,nmse_orig_csv,nmse_refined_csv,nmse_recomputed,sqerr_mu,sqerr_D_mu,sqerr_T0_mu,sqerr_Ly,sqerr_op_x,sqerr_op_y,pct_mu,pct_D_mu,pct_T0_mu,pct_Ly,pct_op_x,pct_op_y
10,random_IR_0011.npz,full_or_composite,raw7_vs_gt_raw7,,,,5.757651432571557e-15,5.339186203211165e-15,4.65582108471707e-17,3.667648993529733e-15,1.999857634383709e-14,4.952663767867119e-15,5.412750761370626e-16,15.455335871286294,0.1347719968590743,10.616739123819102,57.889854853848135,14.336469843269342,1.5668283109180607
11,random_IR_0012.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.2762607241223553e-14,1.103964743316234e-16,1.531341272647286e-17,2.869495124759831e-15,7.379796407084967e-17,5.971256669532462e-14,1.3794073776127926e-14,0.14416656440835474,0.019997759126899686,3.747268707879802,0.09637263331858024,77.97853730917336,18.013657026093004
12,random_IR_0013.npz,full_or_composite,raw7_vs_gt_raw7,,,,2.1029086626978062e-14,4.921112209404048e-14,7.137415681429277e-17,3.295076251465431e-14,1.722600651484611e-17,4.391111419501871e-14,1.2920794825725e-17,39.002424726416706,0.0565678054087296,26.115227208189832,0.013652523938555178,34.80188732074671,0.010240415299468283
13,random_IR_0014.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.788017841824335e-15,3.491171891903879e-17,2.534056887424157e-17,9.41602204580501e-15,4.639131462139768e-16,5.2568465213844083e-17,7.353511059198969e-16,0.32542291713951776,0.2362072708065215,87.76965033150654,4.32427775012805,0.49000690395989827,6.8544348264594674
14,random_IR_0015.npz,full_or_composite,raw7_vs_gt_raw7,,,,3.110420962586408e-14,7.776512475450146e-14,3.068366178993414e-18,4.727899223714509e-14,1.0369878924679522e-17,5.6734537795507575e-14,4.8331647229266895e-15,41.66913186880308,0.00164413231944119,25.333651407016838,0.005556524904192099,30.40024618207472,2.589769884881739
15,random_IR_0016.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.104404038802496e-14,1.9774185124938684e-14,9.978095360959572e-16,3.4015560040658136e-13,1.9377719123711455e-15,1.157986140123564e-16,3.2830767341502803e-15,5.398884968744029,0.2724288698654843,92.8716377674191,0.5290639075367406,0.03161613955986676,0.8963683468747816
16,random_IR_0017.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.1515039521866485e-14,1.334138641358709e-14,2.23321475410081e-17,5.2079769639996827e-14,2.959003948797025e-16,5.666112398712939e-16,2.7842372953229886e-15,19.31008919285146,0.03232315949155083,75.37934707200374,0.42828105267290145,0.8201031917075743,4.029856331272769
17,random_IR_0018.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.8599229806632068e-14,1.042308428609977e-13,5.157191830117129e-18,1.9480169357757167e-15,5.234442276255587e-16,3.8578905918185294e-15,1.0300270317447766e-15,93.40068015776235,0.004621330993930181,1.7456071712183638,0.4690554690235168,3.4570343610347534,0.9230015099670884
18,random_IR_0019.npz,full_or_composite,raw7_vs_gt_raw7,,,,4.038886370413839e-14,1.1901099349240214e-14,2.934831539257596e-17,9.212063902820151e-14,1.1406436656625393e-15,1.3205276944075646e-13,5.0886824255770605e-15,4.911048185798463,0.012110729171767887,38.01404256010405,0.47069231509710463,54.49223594903375,2.0998702607948734
19,random_IR_0020.npz,full_or_composite,raw7_vs_gt_raw7,,,,2.02476992125998e-14,8.570663126234642e-14,3.902638130775822e-17,4.47162102504796e-16,9.996335774126997e-16,1.9405044463987754e-14,1.4888697488039368e-14,70.54845290686382,0.032124128358143496,0.36807647279625616,0.8228371751580255,15.97304485498639,12.255464461837375
20,random_IR_0021.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.896277280368801e-14,6.87943779472608e-14,3.491787645719457e-17,2.635122439674042e-17,2.5948212426823704e-15,3.7941920516153825e-14,4.38424801517714e-15,60.4644150756627,0.030689847610615526,0.023160488069212688,2.2806274778001803,33.347725487324844,3.853381623532452
21,random_IR_0022.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.468539634817409e-14,3.3215252124436905e-18,3.1470694304555756e-16,3.712960588022933e-13,2.095489002391233e-15,5.444212408273944e-16,1.3858380575274655e-14,0.0008558153256533431,0.0810865514248954,95.6671520322155,0.5399181063765158,0.14027412459967661,3.5707133700577645
22,random_IR_0023.npz,full_or_composite,raw7_vs_gt_raw7,,,,4.028741279917386e-14,1.64842955633086e-14,1.0124792073739386e-15,9.4696846052381e-14,2.449918292618092e-15,1.0213335232590298e-14,1.1686760244677119e-13,6.819456507619434,0.4188567168696012,39.175530466728006,1.0135168457497024,4.225196954816508,48.34744250821674
23,random_IR_0024.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.0348012606876091e-14,2.618267078509827e-16,1.4013426726678988e-18,1.6232733958969477e-14,4.3749133342180154e-17,3.2948756339290405e-14,1.2599608159130834e-14,0.4217020823190129,0.0022570238458747283,26.144688478930856,0.07046302029871504,53.06776864798894,20.293120746616587
24,random_IR_0025.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.3952171683895591e-14,1.2396918353847282e-15,7.648057197600173e-18,7.958673383884921e-14,1.9217077724388047e-15,3.985772535931165e-17,9.173908741438884e-16,1.4808827656266736,0.009136041531594212,95.07090322805308,2.295589790580716,0.047612331449588076,1.0958758427583408
25,random_IR_0026.npz,full_or_composite,raw7_vs_gt_raw7,,,,9.295948779333082e-15,1.236521765604221e-15,1.0232285102624951e-20,4.37557437102789e-15,1.6327092722868239e-19,6.248488601236e-15,4.3914934434918045e-14,2.216954566189231,1.8345420041781262e-05,7.844948509103493,0.0002927277446416035,11.202888393575904,78.73489745796668
26,random_IR_0027.npz,full_or_composite,raw7_vs_gt_raw7,,,,3.119241549266015e-15,3.3921090971384266e-16,3.930666643251496e-17,4.962188335212685e-17,3.898772407640643e-15,1.2336913823483466e-16,1.4265168290222127e-14,1.8124646881636015,0.21002256377443293,0.26513861659630755,20.831839760096265,0.6591834173271197,76.22135095404226
27,random_IR_0028.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.4838057272791205e-14,1.3669226278317307e-14,1.002416611740804e-15,3.018397690846016e-14,3.3377561978953234e-15,2.689949879611959e-14,1.3935468844214046e-14,15.353791522945073,1.125952220150087,33.90378353169929,3.7490938970110586,30.21453359378977,15.652845234404719
28,random_IR_0029.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.771191739503932e-14,7.630379879651247e-15,8.053416328061582e-19,1.299759808711794e-15,4.7548471893074925e-17,4.1660518928608123e-14,5.563249193973888e-14,7.180080798581723,0.0007578152182738037,1.2230558101291216,0.04474244735204116,39.20196592255659,52.34939720616225
29,random_IR_0030.npz,full_or_composite,raw7_vs_gt_raw7,,,,7.540489668744091e-15,1.2581203346850212e-14,3.4766309889488595e-22,6.469163791922758e-16,4.624041139631018e-16,1.6501839277832196e-15,2.9902229897012644e-14,27.808104202658228,7.684361674281715e-07,1.4298726113101863,1.0220470514883633,3.6473845428176865,66.09259082328937
30,random_IR_0031.npz,full_or_composite,raw7_vs_gt_raw7,,,,4.017466584108891e-15,2.416971652026333e-15,4.794081224937151e-19,2.8293579132713394e-15,1.3402780146962816e-15,1.117410423360734e-14,6.343608282929558e-15,10.026931157671505,0.0019888492430777823,11.737736763689496,5.560212249172808,46.35634588642905,26.31678509379407
31,random_IR_0032.npz,full_or_composite,raw7_vs_gt_raw7,,,,5.992093518293897e-15,1.2083619048529483e-14,2.558273638516356e-16,2.1098203430265524e-14,5.2204098121934824e-17,4.387853774750317e-16,2.0239217915197713e-15,33.6098978084986,0.711569234443669,58.68345057770039,0.1452027241190284,1.2204565236268352,5.629423131611476
32,random_IR_0033.npz,full_or_composite,raw7_vs_gt_raw7,,,,7.726130554948824e-13,1.8754636686404582e-15,1.6566593285958762e-15,4.593118979306095e-12,7.103438824135007e-16,3.6779288579784465e-14,1.5375982037650364e-15,0.04045715716084136,0.035737150199003025,99.08191745401069,0.015323407522939661,0.7933960455842545,0.03316878552227237
33,random_IR_0034.npz,full_or_composite,raw7_vs_gt_raw7,,,,2.7370856245650082e-14,6.62863330464935e-15,3.5122746187982704e-16,7.795847447815654e-16,1.5277021465626032e-16,1.0265905129558339e-13,5.365387045235009e-14,4.036308574077344,0.2138694887289383,0.4747048818305669,0.09302486635490828,62.51116782404795,32.6709243649603
34,random_IR_0035.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.2748899763199989e-14,3.9183761736671874e-15,1.4392234882027815e-15,4.677024697250609e-14,2.8540001226995268e-15,1.7340653058927642e-14,4.1708987631967e-15,5.12250239425585,1.8815002535318581,61.14285394716904,3.7310410776748855,22.669476557475,5.452625769893364
35,random_IR_0036.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.50820281005453e-14,3.213213618433416e-14,1.3038443153574125e-15,7.569587390646955e-14,2.834480703069096e-15,2.439153000201531e-13,3.461053347388844e-14,8.228624993752293,0.3338976860972797,19.38473546786396,0.7258738922236473,62.46355743640115,8.863310523661665
36,random_IR_0037.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.530645968573684e-13,3.4876841704177073e-15,2.843196468601113e-15,3.897545198025028e-12,6.045557549973088e-16,1.1921359336721626e-14,1.9855873884450396e-15,0.08900814679999743,0.07256036851185788,99.4680877609076,0.015428686991213159,0.30424145365529315,0.050673583134040745
