step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
8749,34,34,0.000710553,10,0,0,4.81315e-05,4.84921e-05,9.15848e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.327128,4.48401,11.8133,0.979422,0.121609,4.91388,0.0496633,0.0531739,0.0331069,0.0180338,0.115128,0.0785366,0,3.98882,0,
8799,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8849,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8899,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8949,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8999,35,35,0.000703448,10,0,0,4.81256e-05,4.84022e-05,9.15906e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.318162,4.61152,11.7978,0.99961,0.129909,5.08706,0.0504949,0.0573068,0.0323981,0.0175685,0.116595,0.0791016,0,3.84561,0,
9049,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9099,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9149,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9199,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9249,36,36,0.000696413,10,0,0,4.80544e-05,4.84056e-05,9.18226e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.312907,4.47195,11.7912,0.981032,0.118362,4.87633,0.0500663,0.0524436,0.0324841,0.0173106,0.117186,0.0809739,0,3.86525,0,
9299,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9349,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9399,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9449,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9499,37,37,0.000689449,10,0,0,4.80237e-05,4.83562e-05,9.13746e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.310873,4.4965,11.8279,0.985026,0.119597,4.82221,0.0492221,0.0512103,0.0318993,0.0171092,0.116317,0.0787966,0,3.97896,0,
9549,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9599,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9649,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9699,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9749,38,38,0.000682555,10,0,0,4.81072e-05,4.82467e-05,9.14162e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.30262,4.53825,11.6965,0.979374,0.121007,4.81823,0.0492207,0.0526018,0.0318052,0.0168822,0.118346,0.0756894,0,4.00432,0,
9799,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9849,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9899,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9949,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,39,39,0.000675729,10,0,0,4.80016e-05,4.82241e-05,9.16448e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.30038,4.52398,11.7231,0.983251,0.122224,4.81474,0.0489629,0.0520342,0.0328382,0.0170394,0.115962,0.0759038,0,4.1081,0,
10049,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10099,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10149,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10199,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10249,40,40,0.000668972,10,0,0,4.79884e-05,4.82254e-05,9.12538e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.293159,4.47146,11.6652,0.973206,0.121624,4.8618,0.0502387,0.0538361,0.0325651,0.0168798,0.117771,0.0803801,0,3.80054,0,
10299,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10349,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10399,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10449,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10499,41,41,0.000662282,10,0,0,4.78933e-05,4.82178e-05,9.13073e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.290573,4.57012,11.6649,0.993606,0.122229,4.95795,0.050006,0.0537647,0.033097,0.0179319,0.118265,0.0769776,0,3.77985,0,
10549,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
10599,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
10649,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
