step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/mfccdb,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
4999,19,19,0.000826169,10,0,0,4.8618e-05,4.89471e-05,0.0260416,9.34751e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.419242,6.28388,15.1389,1.28189,0.148875,5.46746,0.0490814,0.0500593,0.0336776,0.00789796,0.0121597,0.114941,0.0757528,0,6.25408,0,5.86,17.873,2.55144,0.360911,12.4837,0,0,9.70727,0
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,4.85157e-05,4.88652e-05,0.0260416,9.3176e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.407282,6.31865,15.0197,1.31743,0.161155,5.87735,0.0499739,0.0525757,0.0338307,0.00862864,0.0115617,0.114826,0.0784212,0,5.61856,0,5.67642,17.5192,2.46744,0.348491,11.94,0,0,9.04346,0
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000809728,10,0,0,4.86165e-05,4.89338e-05,0.0260416,9.30749e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.406968,6.21455,15.9803,1.33913,0.161943,6.37556,0.049837,0.0488087,0.0337834,0.0112579,0.012311,0.112814,0.0800472,0,6.24745,0,5.75062,17.7109,2.53828,0.359311,12.3273,0,0,9.66796,0
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,4.85672e-05,4.87601e-05,0.0260416,9.31117e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.395764,6.19443,14.6682,1.27245,0.139061,5.30318,0.0485169,0.0505214,0.0327587,0.00751087,0.0109746,0.113206,0.0761301,0,5.36638,0,5.58038,17.5268,2.44757,0.34188,11.9256,0,0,9.08451,0
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5999,23,23,0.000793614,10,0,0,4.84562e-05,4.87369e-05,0.0260416,9.27532e-05,0.0260416,0.0130208,0.0130208,0.02604,0.384608,6.26388,14.6839,1.27506,0.143681,5.25588,0.0503407,0.0537912,0.0360597,0.00750901,0.0106774,0.115691,0.0783161,0,6.44137,0,5.55248,17.6391,2.48176,0.367516,12.06,0,0,11.0747,0
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,4.84765e-05,4.87182e-05,0.0260416,9.25221e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.380572,6.18509,15.7788,1.30558,0.147206,5.88457,0.0493917,0.0503974,0.0339238,0.00995422,0.0101687,0.112585,0.0793213,0,6.70071,0,5.67239,17.8201,2.50183,0.363974,12.2726,0,0,10.6172,0
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000777821,10,0,0,4.8317e-05,4.86414e-05,0.0260416,9.25801e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.371798,6.10954,14.9537,1.2796,0.135523,5.42393,0.0485191,0.0482732,0.0326688,0.0074152,0.0130776,0.11077,0.0789092,0,5.60962,0,5.64062,17.6387,2.48354,0.35592,12.1251,0,0,9.80354,0
6549,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6749,26,26,0.000770043,10,0,0,4.82326e-05,4.86424e-05,0.0260416,9.23884e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.365459,6.14015,14.5574,1.27915,0.136807,5.35079,0.0500789,0.0482873,0.0332917,0.00712672,0.0129504,0.113418,0.0853992,0,5.84677,0,5.57922,17.7039,2.47639,0.358726,12.1228,0,0,10.0884,0
6799,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,27,27,0.000762343,10,0,0,4.84296e-05,4.86757e-05,0.0260416,9.22444e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.364302,6.14798,14.9656,1.26996,0.141048,5.41039,0.0484494,0.0493482,0.0326101,0.00819255,0.0109764,0.112988,0.0765813,0,5.79862,0,5.72229,17.5274,2.48232,0.341675,12.0374,0,0,9.29957,0
7049,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7199,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7249,28,28,0.000754719,10,0,0,4.83656e-05,4.85288e-05,0.0260416,9.23006e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.351761,6.13498,14.8283,1.25419,0.131743,5.08816,0.0473798,0.0467522,0.0334309,0.00755862,0.00943675,0.106636,0.0804644,0,5.78744,0,5.52541,17.5843,2.46545,0.354728,12.0063,0,0,9.82451,0
7299,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7349,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,29,29,0.000747172,10,0,0,4.8446e-05,4.84841e-05,0.0260416,9.22003e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.344636,6.17669,14.9366,1.29006,0.13632,5.58434,0.0466769,0.0461412,0.031975,0.00837387,0.0101886,0.107747,0.0756356,0,5.65963,0,5.48805,17.4672,2.43711,0.344781,11.9015,0,0,9.55234,0
7549,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7599,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,30,30,0.0007397,10,0,0,4.81319e-05,4.83867e-05,0.0260416,9.21253e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.335266,6.42084,14.7867,1.31632,0.162099,5.73528,0.0501886,0.0578291,0.0346263,0.00848278,0.0107632,0.110409,0.0790219,0,5.32647,0,5.61855,17.3687,2.4366,0.3363,11.8526,0,0,8.40265,0
7799,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7849,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
